,Unnamed: 0,subjectID,iTrial,video,action,condition,rating,rt,survey,nTrials,Index
164,599,5,29,sprayBottle_far,sprayBottle,far,7,11008,using the UV spray,29,599
165,583,5,13,drawLine_do,drawLine,do,7,3421,drawing a line,29,583
166,582,5,12,openLid_absent,openLid,absent,6,5447,opening a bottle,29,582
167,581,5,11,igniteLighter_absent,igniteLighter,absent,6,4448,using a lighter,29,581
168,580,5,10,drinkCup_far,drinkCup,far,6,12245,they drank something from the cup,29,580
169,579,5,9,chargePhone_absent,chargePhone,absent,6,4920,charging their phone ,29,579
170,578,5,8,brushTableBroom_do,brushTableBroom,do,6,29270,cleaning up the table ,29,578
171,577,5,7,openCan_absent,openCan,absent,5,15840,immitating the computer mouse ,29,577
172,576,5,6,dispenseSoap_do,dispenseSoap,do,3,8796,they are just putting hand sanitizer on their hand ,29,576
173,575,5,5,openSnack_absent,openSnack,absent,6,7296,the person is making a sign of ripping a paper.maybe trying to communicate to me that they ripped a paper,29,575
174,574,5,4,tweezeTweezer_do,tweezeTweezer,do,3,14390,they are not specifically talking to me,29,574
175,573,5,3,blowCandle_absent,blowCandle,absent,6,9143,talking to me ,29,573
176,572,5,2,flickTrash_far,flickTrash,far,3,22926,flicking the popcorn,29,572
177,598,5,28,foldNapkin_do,foldNapkin,do,7,3785,folding a napkin,29,598
178,584,5,14,insertAirpod_absent,insertAirpod,absent,4,6712,putting on headphones,29,584
179,570,5,0,snipScissors_do,snipScissors,do,1,9353,using the scissors,29,570
180,601,6,1,drinkMug_do,drinkMug,do,5,4063,The person lifted a mug up as if they were about to drink out of it. ,29,601
181,602,6,2,peelPostIt_do,peelPostIt,do,5,5184,the person peeled a sticky note from the  notepad.,29,602
182,629,6,29,pressRemote_do,pressRemote,do,6,5479,the person pressed buttons on a TV remote,29,629
183,628,6,28,flickTrash_absent,flickTrash,absent,4,3535,the person pretended to flick something off the table. ,29,628
184,627,6,27,drinkCup_absent,drinkCup,absent,4,3822,the person lifted their cupped hand. ,29,627
185,626,6,26,openSnack_absent,openSnack,absent,4,4099,The person pretended to tear something. ,29,626
186,625,6,25,crushBottle_absent,crushBottle,absent,4,6518,The person closed their hand into a fist,29,625
187,624,6,24,twistCube_far,twistCube,far,6,3452,The person twisted a rubix cube,29,624
188,623,6,23,zipPlasticBag_do,zipPlasticBag,do,6,3175,The person zipped a bag closed.,29,623
189,622,6,22,insertAirpod_do,insertAirpod,do,7,5055,The person picked up an airpod.,29,622
190,621,6,21,openGluestick_do,openGluestick,do,6,7286,The person opened chapstick. ,29,621
191,620,6,20,openCan_far,openCan,far,5,3247,The person opened a can. ,29,620
192,619,6,19,closeJar_far,closeJar,far,5,3399,The person twisted a lid off of a jar. ,29,619
193,618,6,18,tweezeTweezer_absent,tweezeTweezer,absent,3,4343,The person pinched their fingers together.,29,618
194,617,6,17,brushTableBroom_far,brushTableBroom,far,5,3668,The person used a broom to pick up trash.,29,617
195,600,6,0,foldNapkin_far,foldNapkin,far,2,9710,She was touching her thumb to her ring finger. ,29,600
196,615,6,15,igniteLighter_do,igniteLighter,do,7,4030,The person lit a lighter. ,29,615
197,616,6,16,pullTissue_far,pullTissue,far,5,4261,The person grabbed a tissue.,29,616
198,603,6,3,openLid_absent,openLid,absent,5,7374,The person pretended to twist a cap off of something. ,29,603
199,604,6,4,sprayBottle_do,sprayBottle,do,6,5240,The person sprayed something out of a can. ,29,604
200,605,6,5,snipScissors_far,snipScissors,far,5,8410,"The person pretended to use scissors, though the scissors were laying flat on the table. ",29,605
201,606,6,6,tapPhone_absent,tapPhone,absent,4,4389,The person looked like they were pretending to swipe on a phone. ,29,606
202,608,6,8,drawLine_do,drawLine,do,7,4398,The person drew a line with a pencil onto a notebook. ,29,608
203,607,6,7,dispenseSoap_do,dispenseSoap,do,6,4132,The person pumped anti-bacterial soap onto their hands. ,29,607
204,610,6,10,blowCandle_absent,blowCandle,absent,2,4581,The person looked as if they were whistling. ,29,610
205,611,6,11,foldPaper_far,foldPaper,far,3,4287,The person made the motion of laying a piece of paper on a table. ,29,611
206,612,6,12,flipPage_absent,flipPage,absent,1,4265,The person pointed from their right to their left.,29,612
207,613,6,13,chargePhone_absent,chargePhone,absent,1,4238,The person moved an imaginary object into their left hand?,29,613
208,614,6,14,swipePhone_far,swipePhone,far,6,3361,A person appeared to swipe on their phone.,29,614
209,609,6,9,eraseMark_far,eraseMark,far,3,11549,"The person pretended to erase something, but the eraser and paper were laying on the table. ",29,609
210,649,7,19,sprayBottle_far,sprayBottle,far,7,3158,spray the can,29,649
211,647,7,17,chargePhone_do,chargePhone,do,7,2781,plug in a phone ,29,647
212,648,7,18,drinkMug_far,drinkMug,far,5,6148,pick up the mug and drink,29,648
213,650,7,20,openLid_do,openLid,do,7,2479,twist open a bottle ,29,650
214,656,7,26,twistCube_absent,twistCube,absent,5,5133,twist open a container,29,656
215,652,7,22,tapPhone_do,tapPhone,do,7,3846,press on the phone screen,29,652
216,653,7,23,openGluestick_far,openGluestick,far,6,6823,pull open the glue cap,29,653
217,654,7,24,insertAirpod_far,insertAirpod,far,7,4150,put on earbuds,29,654
218,655,7,25,pullTissue_absent,pullTissue,absent,1,4639,pick up something,29,655
219,645,7,15,swipePhone_absent,swipePhone,absent,6,4280,scroll on a screen,29,645
220,657,7,27,pressRemote_far,pressRemote,far,7,3456,turn on the tv with a remote,29,657
221,651,7,21,foldPaper_absent,foldPaper,absent,6,4941,folding something,29,651
222,644,7,14,openSnack_do,openSnack,do,7,3031,rip open a chip bag,29,644
223,638,7,8,tweezeTweezer_do,tweezeTweezer,do,7,4904,pinch the twizzer,29,638
224,642,7,12,eraseMark_absent,eraseMark,absent,1,4856,move an object,29,642
225,641,7,11,flipPage_do,flipPage,do,7,3567,turn a page,29,641
226,640,7,10,flickTrash_do,flickTrash,do,7,3814,flick a piece of paper rolled in a ball,29,640
